OKPD,TNVED,name_OKPD,name_TNVED
28.9,8446,Оборудование специального назначения прочее,СТАНКИ ТКАЦКИЕ
28.9,8447,Оборудование специального назначения прочее,"МАШИНЫ ТРИКОТАЖНЫЕ, ВЯЗАЛЬНО-ПРОШИВНЫЕ, ДЛЯ ПОЛУЧЕНИЯ ПОЗУМЕНТНОЙ НИТИ, ТЮЛЯ, КРУЖЕВ, ВЫШИВАНИЯ, ПЛЕТЕНИЯ ТЕСЬМЫ ИЛИ СЕТЕЙ И ТАФТИНГОВЫЕ МАШИНЫ"
28.9,8453,Оборудование специального назначения прочее,"ОБОРУДОВАНИЕ ДЛЯ ПОДГОТОВКИ, ДУБЛЕНИЯ ИЛИ ОБРАБОТКИ ШКУР ИЛИ КОЖ ИЛИ ДЛЯ ИЗГОТОВЛЕНИЯ ИЛИ РЕМОНТА ОБУВИ ИЛИ ПРОЧИХ ИЗДЕЛИЙ ИЗ ШКУР ИЛИ КОЖ, КРОМЕ ШВЕЙНЫХ МАШИН"
28.9,8454,Оборудование специального назначения прочее,"КОНВЕРТЕРЫ, ЛИТЕЙНЫЕ КОВШИ, ИЗЛОЖНИЦЫ И МАШИНЫ ЛИТЕЙНЫЕ, ИСПОЛЬЗУЕМЫЕ В МЕТАЛЛУРГИИ ИЛИ ЛИТЕЙНОМ ПРОИЗВОДСТВЕ"
28.9,8475,Оборудование специального назначения прочее,"МАШИНЫ ДЛЯ СБОРКИ ЭЛЕКТРИЧЕСКИХ ИЛИ ЭЛЕКТРОННЫХ ЛАМП, ТРУБОК ИЛИ ЭЛЕКТРОННО-ЛУЧЕВЫХ ТРУБОК ИЛИ ГАЗОРАЗРЯДНЫХ ЛАМП В СТЕКЛЯННЫХ КОЛБАХ; МАШИНЫ ДЛЯ ИЗГОТОВЛЕНИЯ ИЛИ ГОРЯЧЕЙ ОБРАБОТКИ СТЕКЛА ИЛИ ИЗДЕЛИЙ ИЗ СТЕКЛА"
29.1,8407,Средства автотранспортные,"ДВИГАТЕЛИ ВНУТРЕННЕГО СГОРАНИЯ С ИСКРОВЫМ ЗАЖИГАНИЕМ, С ВРАЩАЮЩИМСЯ ИЛИ ВОЗВРАТНО-ПОСТУПАТЕЛЬНЫМ ДВИЖЕНИЕМ ПОРШНЯ"
29.3,8512,Части и принадлежности для автотранспортных средств,"ОБОРУДОВАНИЕ ЭЛЕКТРООСВЕТИТЕЛЬНОЕ ИЛИ СИГНАЛИЗАЦИОННОЕ (КРОМЕ ИЗДЕЛИЙ ТОВАРНОЙ ПОЗИЦИИ 8539), СТЕКЛООЧИСТИТЕЛИ, АНТИОБЛЕДЕНИТЕЛИ И ПРОТИВОЗАПОТЕВАТЕЛИ, ИСПОЛЬЗУЕМЫЕ НА ВЕЛОСИПЕДАХ ИЛИ МОТОРНЫХ ТРАНСПОРТНЫХ СРЕДСТВАХ"
30.1,8901,"Корабли, суда и лодки","СУДА КРУИЗНЫЕ, ЭКСКУРСИОННЫЕ, ПАРОМЫ, ГРУЗОВЫЕ СУДА, БАРЖИ И АНАЛОГИЧНЫЕ ПЛАВУЧИЕ СРЕДСТВА ДЛЯ ПЕРЕВОЗКИ ПАССАЖИРОВ ИЛИ ГРУЗОВ"
30.1,8903,"Корабли, суда и лодки",ЯХТЫ И ПРОЧИЕ ПЛАВУЧИЕ СРЕДСТВА ДЛЯ ОТДЫХА ИЛИ СПОРТА; ГРЕБНЫЕ ЛОДКИ И КАНОЭ
30.3,8803,Аппараты летательные и космические и соответствующее оборудование,ЧАСТИ ЛЕТАТЕЛЬНЫХ АППАРАТОВ ТОВАРНОЙ ПОЗИЦИИ 8801 ИЛИ 8802
32.3,9507,Товары спортивные,"УДОЧКИ РЫБОЛОВНЫЕ, КРЮЧКИ РЫБОЛОВНЫЕ И ПРОЧИЕ СНАСТИ ДЛЯ РЫБНОЙ ЛОВЛИ С ИСПОЛЬЗОВАНИЕМ ЛЕСЫ; САЧКИ ДЛЯ РЫБ, САЧКИ ДЛЯ БАБОЧЕК И АНАЛОГИЧНЫЕ САЧКИ; ПРИМАНКИ В ВИДЕ МУЛЯЖЕЙ ПТИЦ (КРОМЕ УКАЗАННЫХ В ТОВАРНОЙ ПОЗИЦИИ 9208 ИЛИ 9705) И АНАЛОГИЧНЫЕ ПРИНАДЛЕЖНОСТИ ДЛЯ ОХОТЫ ИЛИ СТРЕЛЬБЫ"
32.4,9504,Игры и игрушки,"КОНСОЛИ И ОБОРУДОВАНИЕ ДЛЯ ВИДЕОИГР, ТОВАРЫ ДЛЯ РАЗВЛЕЧЕНИЙ, НАСТОЛЬНЫЕ ИЛИ КОМНАТНЫЕ ИГРЫ, ВКЛЮЧАЯ СТОЛЫ ДЛЯ ИГРЫ В ПИНБОЛ, БИЛЬЯРД, СПЕЦИАЛЬНЫЕ СТОЛЫ ДЛЯ ИГР В КАЗИНО И АВТОМАТИЧЕСКОЕ ОБОРУДОВАНИЕ ДЛЯ БОУЛИНГА"
32.9,6704,"Изделия готовые, не включенные в другие группировки","ПАРИКИ, БОРОДЫ НАКЛАДНЫЕ, БРОВИ И РЕСНИЦЫ, НАКЛАДКИ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ ИЗ ЧЕЛОВЕЧЕСКОГО ВОЛОСА ИЛИ ВОЛОСА ЖИВОТНЫХ ИЛИ ИЗ ТЕКСТИЛЬНЫХ МАТЕРИАЛОВ; ИЗДЕЛИЯ ИЗ ЧЕЛОВЕЧЕСКОГО ВОЛОСА, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ"
32.9,9613,"Изделия готовые, не включенные в другие группировки","ЗАЖИГАЛКИ СИГАРЕТНЫЕ И ПРОЧИЕ ЗАЖИГАЛКИ, ВКЛЮЧАЯ МЕХАНИЧЕСКИЕ ИЛИ ЭЛЕКТРИЧЕСКИЕ, И ЧАСТИ К НИМ, КРОМЕ КРЕМНЕЙ И ФИТИЛЕЙ"
38.1,3915,Отходы; услуги по сбору отходов,"ОТХОДЫ, ОБРЕЗКИ И СКРАП, ИЗ ПЛАСТМАСС"
38.1,4707,Отходы; услуги по сбору отходов,РЕГЕНЕРИРУЕМЫЕ БУМАГА ИЛИ КАРТОН (МАКУЛАТУРА И ОТХОДЫ)
38.1,7112,Отходы; услуги по сбору отходов,"ОТХОДЫ И ЛОМ ДРАГОЦЕННЫХ МЕТАЛЛОВ ИЛИ МЕТАЛЛОВ, ПЛАКИРОВАННЫХ ДРАГОЦЕННЫМИ МЕТАЛЛАМИ; ПРОЧИЕ ОТХОДЫ И ЛОМ, СОДЕРЖАЩИЕ ДРАГОЦЕННЫЙ МЕТАЛЛ ИЛИ СОЕДИНЕНИЯ ДРАГОЦЕННЫХ МЕТАЛЛОВ, ИСПОЛЬЗУЕМЫЕ ГЛАВНЫМ ОБРАЗОМ ДЛЯ ИЗВЛЕЧЕНИЯ ДРАГОЦЕННЫХ МЕТАЛЛОВ"
59.1,8523,"Услуги по производству кинофильмов, видеофильмов и телевизионных программ","ДИСКИ, ЛЕНТЫ, ТВЕРДОТЕЛЬНЫЕ ЭНЕРГОНЕЗАВИСИМЫЕ УСТРОЙСТВА ХРАНЕНИЯ ДАННЫХ, ""ИНТЕЛЛЕКТУАЛЬНЫЕ КАРТОЧКИ"" И ДРУГИЕ НОСИТЕЛИ ДЛЯ ЗАПИСИ ЗВУКА ИЛИ ДРУГИХ ЯВЛЕНИЙ, ЗАПИСАННЫЕ ИЛИ НЕЗАПИСАННЫЕ, ВКЛЮЧАЯ МАТРИЦЫ И МАСТЕР-ДИСКИ ДЛЯ ИЗГОТОВЛЕНИЯ ДИСКОВ, КРОМЕ ИЗДЕЛИЙ ГРУППЫ 37"
01.1,0708,Культуры однолетние,"БОБОВЫЕ ОВОЩИ, ЛУЩЕНЫЕ ИЛИ НЕЛУЩЕНЫЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
01.1,1007,Культуры однолетние,СОРГО ЗЕРНОВОЕ
01.1,1202,Культуры однолетние,"АРАХИС, НЕЖАРЕНЫЙ ИЛИ НЕ ПРИГОТОВЛЕННЫЙ КАКИМ-ЛИБО ДРУГИМ СПОСОБОМ, ЛУЩЕНЫЙ ИЛИ НЕЛУЩЕНЫЙ, ДРОБЛЕНЫЙ ИЛИ НЕДРОБЛЕНЫЙ"
01.1,1205,Культуры однолетние,"СЕМЕНА РАПСА, ИЛИ КОЛЬЗЫ, ДРОБЛЕНЫЕ ИЛИ НЕДРОБЛЕНЫЕ"
01.1,1206,Культуры однолетние,"СЕМЕНА ПОДСОЛНЕЧНИКА, ДРОБЛЕНЫЕ ИЛИ НЕДРОБЛЕНЫЕ"
01.2,0709,Культуры многолетние,"ОВОЩИ ПРОЧИЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
01.2,0904,Культуры многолетние,"ПЕРЕЦ РОДА PIPER; ПЛОДЫ РОДА CAPSICUM ИЛИ РОДА PIMENTA, СУШЕНЫЕ ИЛИ  ДРОБЛЕНЫЕ,  ИЛИ МОЛОТЫЕ"
01.2,0908,Культуры многолетние,"МУСКАТНЫЙ ОРЕХ, МАЦИС И КАРДАМОН"
01.2,0909,Культуры многолетние,"СЕМЕНА АНИСА, БАДЬЯНА, ФЕНХЕЛЯ, КОРИАНДРА, ТМИНА РИМСКОГО, ИЛИ ТМИНА ВОЛОШСКОГО, ИЛИ ТМИНА; ЯГОДЫ МОЖЖЕВЕЛЬНИКА"
01.2,1210,Культуры многолетние,"ШИШКИ ХМЕЛЯ, СВЕЖИЕ ИЛИ СУШЕНЫЕ, ДРОБЛЕНЫЕ ИЛИ НЕДРОБЛЕНЫЕ, В ПОРОШКООБРАЗНОМ ВИДЕ ИЛИ В ВИДЕ ГРАНУЛ; ЛУПУЛИН"
01.2,1212,Культуры многолетние,"ПЛОДЫ РОЖКОВОГО ДЕРЕВА, МОРСКИЕ И ПРОЧИЕ ВОДОРОСЛИ, СВЕКЛА САХАРНАЯ И САХАРНЫЙ ТРОСТНИК, СВЕЖИЕ, ОХЛАЖДЕННЫЕ, МОРОЖЕНЫЕ ИЛИ СУШЕНЫЕ, ДРОБЛЕНЫЕ ИЛИ НЕДРОБЛЕНЫЕ; КОСТОЧКИ ПЛОДОВ И ИХ ЯДРА, ПРОЧИЕ ПРОДУКТЫ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ (ВКЛЮЧАЯ НЕОБЖАРЕННЫЕ КОРНИ ЦИКОРИЯ РАЗНОВИДНОСТИ CICНORIUM INTYBUS SATIVUM), ИСПОЛЬЗУЕМЫЕ ГЛАВНЫМ ОБРАЗОМ ДЛЯ ПИЩЕВЫХ ЦЕЛЕЙ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ"
01.2,1401,Культуры многолетние,"МАТЕРИАЛЫ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ, ИСПОЛЬЗУЕМЫЕ ГЛАВНЫМ ОБРАЗОМ ДЛЯ ПЛЕТЕНИЯ (НАПРИМЕР, БАМБУК, РОТАНГ, ТРОСТНИК, СИТНИК, ИВА, РАФИЯ, ОЧИЩЕННАЯ, ОТБЕЛЕННАЯ ИЛИ ОКРАШЕННАЯ СОЛОМА ЗЕРНОВЫХ И ЛИПОВАЯ КОРА)"
01.4,0103,Животные живые и продукты животного происхождения,СВИНЬИ ЖИВЫЕ
01.4,1521,Животные живые и продукты животного происхождения,"ВОСКИ РАСТИТЕЛЬНЫЕ (КРОМЕ ТРИГЛИЦЕРИДОВ), ВОСК ПЧЕЛИНЫЙ, ВОСКИ ДРУГИХ НАСЕКОМЫХ И СПЕРМАЦЕТ, ОКРАШЕННЫЕ ИЛИ НЕОКРАШЕННЫЕ, РАФИНИРОВАННЫЕ ИЛИ НЕРАФИНИРОВАННЫЕ"
01.4,5102,Животные живые и продукты животного происхождения,"ВОЛОС ЖИВОТНЫХ, ТОНКИЙ ИЛИ ГРУБЫЙ, НЕ ПОДВЕРГНУТЫЙ КАРДО- ИЛИ ГРЕБНЕЧЕСАНИЮ"
08.1,2515,"Камень, песок и глина","МРАМОР, ТРАВЕРТИН, ИЛИ ИЗВЕСТКОВЫЙ ТУФ, ЭКАУССИН И ДРУГИЕ ИЗВЕСТНЯКИ ДЛЯ ПАМЯТНИКОВ ИЛИ СТРОИТЕЛЬСТВА С УДЕЛЬНЫМ ВЕСОМ 2,5 ИЛИ БОЛЕЕ, И АЛЕБАСТР, ГРУБО РАЗДРОБЛЕННЫЕ ИЛИ НЕРАЗДРОБЛЕННЫЕ, РАСПИЛЕННЫЕ ИЛИ НЕРАСПИЛЕННЫЕ, ЛИБО РАЗДЕЛЕННЫЕ ДРУГИМ СПОСОБОМ НА БЛОКИ ИЛИ ПЛИТЫ ПРЯМОУГОЛЬНОЙ (ВКЛЮЧАЯ КВАДРАТНУЮ) ФОРМЫ"
08.9,2501,"Продукция горнодобывающих производств, не включенная в другие группировки","СОЛЬ (ВКЛЮЧАЯ СОЛЬ СТОЛОВУЮ И ДЕНАТУРИРОВАННУЮ) И ХЛОРИД НАТРИЯ ЧИСТЫЙ,  РАСТВОРЕННЫЕ ИЛИ НЕ РАСТВОРЕННЫЕ В ВОДЕ, А ТАКЖЕ СОДЕРЖАЩИЕ ДОБАВКИ  АГЕНТОВ; ВОДА МОРСКАЯ"
08.9,2525,"Продукция горнодобывающих производств, не включенная в другие группировки","СЛЮДА, В ТОМ ЧИСЛЕ РАССЛОЕННАЯ; СЛЮДЯНЫЕ ОТХОДЫ"
08.9,2530,"Продукция горнодобывающих производств, не включенная в другие группировки","ВЕЩЕСТВА МИНЕРАЛЬНЫЕ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ"
08.9,7102,"Продукция горнодобывающих производств, не включенная в другие группировки","КАР-АЛМАЗЫ ОБРАБОТАННЫЕ ИЛИ НЕОБРАБОТАННЫЕ, НО НЕОПРАВЛЕННЫЕ ИЛИ НЕЗАКРЕПЛЕННЫЕ"
10.1,0205,Переработка и консервирование мяса и мясной пищевой продукции,"МЯСО ЛОШАДЕЙ (КОНИНА), ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖЕЕ, ОХЛАЖДЕННОЕ ИЛИ МОРОЖЕНОЕ"
10.1,0505,Переработка и консервирование мяса и мясной пищевой продукции,"ШКУРКИ И ПРОЧИЕ ЧАСТИ ПТИЦ С ПЕРЬЯМИ ИЛИ ПУХОМ, ПЕРЬЯ И ЧАСТИ ПЕРЬЕВ (С ПОДРЕЗАННЫМИ ИЛИ НЕПОДРЕЗАННЫМИ КРАЯМИ) И ПУХ, ОЧИЩЕННЫЕ, ДЕЗИНФИЦИРОВАННЫЕ ИЛИ ОБРАБОТАННЫЕ ДЛЯ ХРАНЕНИЯ, НО НЕ ПОДВЕРГНУТЫЕ ДАЛЬНЕЙШЕЙ ОБРАБОТКЕ; ПОРОШОК И ОТХОДЫ ПЕРЬЕВ ИЛИ ИХ ЧАСТЕЙ"
10.1,1601,Переработка и консервирование мяса и мясной пищевой продукции,"КОЛБАСЫ И АНАЛОГИЧНЫЕ ПРОДУКТЫ ИЗ МЯСА, МЯСНЫХ СУБПРОДУКТОВ ИЛИ КРОВИ, ПИЩЕВЫЕ ПРОДУКТЫ, ИЗГОТОВЛЕННЫЕ НА ИХ ОСНОВЕ"
10.1,4101,Переработка и консервирование мяса и мясной пищевой продукции,"НЕОБРАБОТАННЫЕ ШКУРЫ КРУПНОГО РОГАТОГО СКОТА (ВКЛЮЧАЯ БУЙВОЛОВ) ИЛИ ЖИВОТНЫХ СЕМЕЙСТВА ЛОШАДИНЫХ (ПАРНЫЕ ИЛИ СОЛЕНЫЕ, СУШЕНЫЕ, ЗОЛЕНЫЕ, ПИКЕЛЕВАННЫЕ ИЛИ КОНСЕРВИРОВАННЫЕ ДРУГИМ СПОСОБОМ, НО НЕ ДУБЛЕНЫЕ, НЕ ВЫДЕЛАННЫЕ ПОД ПЕРГАМЕНТ ИЛИ НЕ ПОДВЕРГНУТЫЕ ДАЛЬНЕЙШЕЙ ОБРАБОТКЕ), С ВОЛОСЯНЫМ ПОКРОВОМ ИЛИ БЕЗ ВОЛОСЯНОГО ПОКРОВА, ДВОЕНЫЕ ИЛИ НЕДВОЕНЫЕ"
10.3,0806,Переработка и консервирование фруктов и овощей,"ВИНОГРАД, СВЕЖИЙ ИЛИ СУШЕНЫЙ"
10.4,1509,Производство растительных и животных масел и жиров,"МАСЛО ОЛИВКОВОЕ И ЕГО ФРАКЦИИ, НЕРАФИНИРОВАННЫЕ ИЛИ РАФИНИРОВАННЫЕ, НО БЕЗ ИЗМЕНЕНИЯ ХИМИЧЕСКОГО СОСТАВА"
10.5,2105,Производство молочной продукции,"МОРОЖЕНОЕ И ПРОЧИЕ ВИДЫ ПИЩЕВОГО ЛЬДА, НЕ СОДЕРЖАЩИЕ ИЛИ СОДЕРЖАЩИЕ КАКАО"
10.6,1101,"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",МУКА ПШЕНИЧНАЯ ИЛИ ПШЕНИЧНО-РЖАНАЯ
10.6,2303,"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов","ОСТАТКИ ОТ ПРОИЗВОДСТВА КРАХМАЛА И АНАЛОГИЧНЫЕ ОСТАТКИ, СВЕКЛОВИЧНЫЙ ЖОМ, БАГАССА, ИЛИ ЖОМ САХАРНОГО ТРОСТНИКА, И ПРОЧИЕ ОТХОДЫ ПРОИЗВОДСТВА САХАРА, БАРДА И ПРОЧИЕ ОТХОДЫ ПИВОВАРЕНИЯ ИЛИ ВИНОКУРЕНИЯ, НЕГРАНУЛИРОВАННЫЕ ИЛИ ГРАНУЛИРОВАННЫЕ"
10.8,0908,Производство прочих пищевых продуктов,"МУСКАТНЫЙ ОРЕХ, МАЦИС И КАРДАМОН"
10.8,0909,Производство прочих пищевых продуктов,"СЕМЕНА АНИСА, БАДЬЯНА, ФЕНХЕЛЯ, КОРИАНДРА, ТМИНА РИМСКОГО, ИЛИ ТМИНА ВОЛОШСКОГО, ИЛИ ТМИНА; ЯГОДЫ МОЖЖЕВЕЛЬНИКА"
10.8,2007,Производство прочих пищевых продуктов,"ДЖЕМЫ, ЖЕЛЕ ФРУКТОВОЕ, МАРМЕЛАДЫ, ПЮРЕ ФРУКТОВОЕ ИЛИ ОРЕХОВОЕ, ПАСТА ФРУКТОВАЯ ИЛИ ОРЕХОВАЯ, ПОЛУЧЕННЫЕ ПУТЕМ ТЕПЛОВОЙ ОБРАБОТКИ, В ТОМ ЧИСЛЕ С ДОБАВЛЕНИЕМ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
11.0,2203,#N/A,Л-ПИВО СОЛОДОВОЕ
11.0,2307,#N/A,ВИННЫЙ ОТСТОЙ; ВИННЫЙ КАМЕНЬ
13.1,5204,Подготовка и прядение текстильных волокон,"НИТКИ ХЛОПЧАТОБУМАЖНЫЕ ШВЕЙНЫЕ, РАСФАСОВАННЫЕ ИЛИ НЕ РАСФАСОВАННЫЕ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ"
13.1,5301,Подготовка и прядение текстильных волокон,"ЛЕН-СЫРЕЦ ИЛИ ЛЕН ОБРАБОТАННЫЙ, НО НЕ ПОДВЕРГНУТЫЙ ПРЯДЕНИЮ; ОЧЕСЫ И ОТХОДЫ ЛЬНА (ВКЛЮЧАЯ ПРЯДИЛЬНЫЕ ОТХОДЫ И РАСЩИПАННОЕ СЫРЬЕ)"
13.1,5308,Подготовка и прядение текстильных волокон,ПРЯЖА ИЗ ДРУГИХ РАСТИТЕЛЬНЫХ ТЕКСТИЛЬНЫХ ВОЛОКОН; ПРЯЖА БУМАЖНАЯ
13.1,5403,Подготовка и прядение текстильных волокон,"НИТИ КОМПЛЕКСНЫЕ ИСКУССТВЕННЫЕ (КРОМЕ ШВЕЙНЫХ НИТОК), НЕ РАСФАСОВАННЫЕ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ, ВКЛЮЧАЯ ИСКУССТВЕННЫЕ МОНОНИТИ ЛИНЕЙНОЙ ПЛОТНОСТИ МЕНЕЕ 67 ДТЕКС"
13.1,5511,Подготовка и прядение текстильных волокон,"ПРЯЖА ИЗ ХИМИЧЕСКИХ ВОЛОКОН (КРОМЕ ШВЕЙНЫХ НИТОК), РАСФАСОВАННАЯ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ"
13.2,5007,Производство текстильных тканей,М2-ТКАНИ ИЗ ШЕЛКОВЫХ НИТЕЙ ИЛИ ИЗ ШЕЛКОВЫХ ОТХОДОВ
13.9,5608,Производство прочих текстильных изделий,"СЕТКИ И СЕТИ, ПЛЕТЕНЫЕ ИЗ БЕЧЕВОК, ВЕРЕВОК ИЛИ КАНАТОВ; ГОТОВЫЕ РЫБОЛОВНЫЕ СЕТИ И ДРУГИЕ ГОТОВЫЕ СЕТИ, ИЗ ТЕКСТИЛЬНЫХ МАТЕРИАЛОВ"
13.9,5704,Производство прочих текстильных изделий,"М2-КОВРЫ И ПРОЧИЕ ТЕКСТИЛЬНЫЕ НАПОЛЬНЫЕ ПОКРЫТИЯ ИЗ ВОЙЛОКА, НЕТАФТИНГОВЫЕ ИЛИ НЕФЛОКИРОВАННЫЕ, ГОТОВЫЕ ИЛИ НЕГОТОВЫЕ"
13.9,5902,Производство прочих текстильных изделий,"М2-МАТЕРИАЛЫ КОРДНЫЕ ДЛЯ ШИН ИЗ НЕЙЛОНОВЫХ ИЛИ ПРОЧИХ ПОЛИАМИДНЫХ, ПОЛИЭФИРНЫХ ИЛИ ВИСКОЗНЫХ НИТЕЙ ВЫСОКОЙ ПРОЧНОСТИ"
13.9,5903,Производство прочих текстильных изделий,"М2-ТЕКСТИЛЬНЫЕ МАТЕРИАЛЫ, ПРОПИТАННЫЕ, С ПОКРЫТИЕМ ИЛИ ДУБЛИРОВАННЫЕ ПЛАСТМАССАМИ, КРОМЕ МАТЕРИАЛОВ ТОВАРНОЙ ПОЗИЦИИ 5902"
13.9,6307,Производство прочих текстильных изделий,"ГОТОВЫЕ ИЗДЕЛИЯ ПРОЧИЕ, ВКЛЮЧАЯ ВЫКРОЙКИ ОДЕЖДЫ"
14.1,6105,"Производство одежды, кроме одежды из меха","РУБАШКИ ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ, МУЖСКИЕ ИЛИ ДЛЯ МАЛЬЧИКОВ"
14.1,6106,"Производство одежды, кроме одежды из меха","БЛУЗКИ, БЛУЗЫ И БЛУЗОНЫ ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ, ЖЕНСКИЕ ИЛИ ДЛЯ ДЕВОЧЕК"
14.1,6111,"Производство одежды, кроме одежды из меха",ДЕТСКАЯ ОДЕЖДА И ПРИНАДЛЕЖНОСТИ К ДЕТСКОЙ ОДЕЖДЕ ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ
14.1,6114,"Производство одежды, кроме одежды из меха",ПРЕДМЕТЫ ОДЕЖДЫ ПРОЧИЕ ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ
14.1,6117,"Производство одежды, кроме одежды из меха",ПРИНАДЛЕЖНОСТИ К ОДЕЖДЕ ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ ГОТОВЫЕ ПРОЧИЕ; ЧАСТИ ОДЕЖДЫ ИЛИ ПРИНАДЛЕЖНОСТЕЙ К ОДЕЖДЕ ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ
14.1,6205,"Производство одежды, кроме одежды из меха",РУБАШКИ МУЖСКИЕ ИЛИ ДЛЯ МАЛЬЧИКОВ
14.1,6209,"Производство одежды, кроме одежды из меха",ДЕТСКАЯ ОДЕЖДА И ПРИНАДЛЕЖНОСТИ К ДЕТСКОЙ ОДЕЖДЕ
14.1,6215,"Производство одежды, кроме одежды из меха","ГАЛСТУКИ, ГАЛСТУКИ-БАБОЧКИ И ШЕЙНЫЕ ПЛАТКИ"
15.1,4114,"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",ЗАМША (ВКЛЮЧАЯ КОМБИНИРОВАННУЮ ЗАМШУ); КОЖА ЛАКОВАЯ И КОЖА ЛАКОВАЯ ЛАМИНИРОВАННАЯ; КОЖА МЕТАЛЛИЗИРОВАННАЯ
15.2,6401,Производство обуви,"ПАР-ВОДОНЕПРОНИЦАЕМАЯ ОБУВЬ С ПОДОШВОЙ И С ВЕРХОМ ИЗ РЕЗИНЫ ИЛИ ПЛАСТМАССЫ, ВЕРХ КОТОРОЙ НЕ КРЕПИТСЯ К ПОДОШВЕ И НЕ СОЕДИНЯЕТСЯ С НЕЙ НИ НИТОЧНЫМ, НИ ШПИЛЕЧНЫМ, НИ ГВОЗДЕВЫМ, НИ ВИНТОВЫМ, НИ ЗАКЛЕПОЧНЫМ, НИ КАКИМ-ЛИБО ДРУГИМ АНАЛОГИЧНЫМ СПОСОБОМ"
15.2,6404,Производство обуви,"ПАР-ОБУВЬ С ПОДОШВОЙ ИЗ РЕЗИНЫ, ПЛАСТМАССЫ, НАТУРАЛЬНОЙ ИЛИ КОМПОЗИЦИОННОЙ КОЖИ И С ВЕРХОМ ИЗ ТЕКСТИЛЬНЫХ МАТЕРИАЛОВ"
15.2,6405,Производство обуви,ПАР-ОБУВЬ ПРОЧАЯ
16.2,4421,"Производство изделий из дерева, пробки, соломки и материалов для плетения",ИЗДЕЛИЯ ДЕРЕВЯННЫЕ ПРОЧИЕ
17.2,4817,Производство изделий из бумаги и картона,"КОНВЕРТЫ, КАРТОЧКИ ДЛЯ ПИСЕМ, ПОЧТОВЫЕ ОТКРЫТКИ БЕЗ РИСУНКОВ И КАРТОЧКИ ДЛЯ ПЕРЕПИСКИ, ИЗ БУМАГИ ИЛИ КАРТОНА; КОРОБКИ, СУМКИ, ФУТЛЯРЫ И КОМПЕНДИУМЫ, ИЗ БУМАГИ ИЛИ КАРТОНА, СОДЕРЖАЩИЕ НАБОРЫ БУМАЖНЫХ КАНЦЕЛЯРСКИХ ПРИНАДЛЕЖНОСТЕЙ"
17.2,5601,Производство изделий из бумаги и картона,"ВАТА ИЗ ТЕКСТИЛЬНЫХ МАТЕРИАЛОВ И ИЗДЕЛИЯ ИЗ НЕЕ; ТЕКСТИЛЬНЫЕ ВОЛОКНА, НЕ ПРЕВЫШАЮЩИЕ ПО ДЛИНЕ 5 ММ (ПУХ), ТЕКСТИЛЬНАЯ ПЫЛЬ И УЗЕЛКИ"
19.1,2704,Производство кокса,"КОКС И ПОЛУКОКС ИЗ КАМЕННОГО УГЛЯ, ЛИГНИТА ИЛИ ТОРФА, АГЛОМЕРИРОВАННЫЕ ИЛИ НЕАГЛОМЕРИРОВАННЫЕ; УГОЛЬ РЕТОРТНЫЙ"
20.1,2813,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",СУЛЬФИДЫ НЕМЕТАЛЛОВ; ТРИСУЛЬФИД ФОСФОРА ТЕХНИЧЕСКИЙ
20.1,2819,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",ОКСИДЫ И ГИДРОКСИДЫ ХРОМА
